iter	Passed	Remaining
555	3871	3091
556	3881	3086
557	3886	3078
558	3895	3073
559	3902	3066
560	3910	3060
561	3916	3052
562	3924	3046
563	3930	3038
564	3935	3029
565	3943	3024
566	3950	3017
567	3959	3011
568	3966	3004
569	3973	2997
570	3981	2990
571	3984	2981
572	3990	2973
573	3994	2964
574	3998	2955
575	4008	2950
576	4013	2942
577	4019	2934
578	4027	2928
579	4035	2922
580	4042	2915
581	4048	2907
582	4057	2902
583	4062	2893
584	4066	2884
585	4076	2879
586	4079	2870
587	4088	2864
588	4094	2856
589	4099	2849
590	4108	2843
591	4113	2835
592	4124	2830
593	4130	2823
594	4138	2817
595	4144	2809
596	4153	2803
597	4162	2798
598	4171	2792
599	4175	2783
600	4180	2775
601	4189	2769
602	4194	2761
603	4204	2756
604	4210	2748
605	4219	2743
606	4226	2736
607	4237	2732
608	4245	2725
609	4258	2722
610	4266	2716
611	4273	2709
612	4278	2700
613	4288	2695
614	4293	2687
615	4301	2681
616	4307	2673
617	4313	2666
618	4321	2659
619	4325	2651
620	4334	2645
621	4338	2636
622	4346	2630
623	4351	2622
624	4356	2613
625	4366	2608
626	4371	2600
627	4380	2594
628	4384	2586
629	4390	2578
630	4397	2571
631	4403	2564
632	4411	2557
633	4416	2549
634	4421	2541
635	4430	2535
636	4435	2527
637	4446	2522
638	4452	2515
639	4459	2508
640	4463	2499
641	4466	2490
642	4470	2481
643	4478	2475
644	4483	2467
645	4487	2458
646	4493	2451
647	4496	2442
648	4499	2433
649	4506	2426
650	4510	2417
651	4516	2410
652	4524	2404
653	4531	2397
654	4542	2392
655	4548	2385
656	4559	2380
657	4565	2373
658	4574	2367
659	4578	2358
660	4581	2349
661	4589	2343
662	4594	2335
663	4598	2327
664	4607	2321
665	4612	2313
666	4622	2307
667	4628	2300
668	4632	2292
669	4640	2285
670	4644	2277
671	4655	2272
672	4661	2264
673	4670	2258
674	4677	2252
675	4687	2246
676	4693	2239
677	4704	2234
678	4710	2226
679	4720	2221
680	4728	2215
681	4738	2209
682	4753	2206
683	4762	2200
684	4772	2194
685	4784	2189
686	4790	2182
687	4800	2176
688	4807	2170
689	4817	2164
690	4824	2157
691	4832	2150
692	4838	2143
693	4850	2138
694	4856	2131
695	4863	2124
696	4872	2118
697	4885	2113
698	4895	2108
699	4902	2101
700	4912	2095
701	4921	2089
702	4937	2085
703	4947	2080
704	4952	2072
705	4962	2066
706	4968	2059
707	4978	2053
708	4984	2045
709	4993	2039
710	4999	2032
711	5009	2026
712	5014	2018
713	5023	2012
714	5030	2005
715	5040	1999
716	5047	1992
717	5050	1983
718	5058	1976
719	5061	1968
720	5064	1959
721	5070	1952
722	5074	1944
723	5079	1936
724	5087	1929
725	5096	1923
726	5106	1917
727	5111	1909
728	5116	1902
729	5124	1895
730	5131	1888
731	5140	1882
732	5147	1875
733	5154	1868
734	5160	1860
735	5166	1853
736	5173	1846
737	5179	1838
738	5190	1833
739	5198	1826
740	5204	1819
741	5213	1812
742	5219	1805
743	5225	1797
744	5232	1790
745	5236	1783
746	5240	1775
747	5247	1767
748	5253	1760
749	5265	1755
750	5271	1747
751	5277	1740
752	5284	1733
753	5288	1725
754	5297	1719
755	5301	1710
756	5306	1703
757	5315	1696
758	5321	1689
759	5330	1683
